,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),Unnamed: 19,genre,genre_id
40098,['Hot Lips Page'],[825032],0.626,0.452,0.835,125.293,-12.341,0,7,0.968,0.0252,0.119,0.0698,0,200067,0,1924,1924,Jump For Joy,,Jazz,0
17637,['Bunny Berigan'],[639789],0.531,0.17,0.805,165.165,-14.5,1,5,0.991,0.174,0.126,0.0771,0,197787,27,1925,1925,Marie,,Jazz,0
17638,['Bunny Berigan'],[639789],0.636,0.468,0.922,109.831,-12.714,1,5,0.921,0.811,0.0726,0.0575,0,188040,6,1926,1926,*********** Rose,,Jazz,0
28638,"['Eddie ""Cleanhead"" Vinson']",[137137],0.597,0.194,0.625,73.699,-11.92,1,5,0.964,9.66E-05,0.309,0.0883,0,161067,0,1927,1927,When My Baby Left Me - Live,,Jazz,0
39191,"['Harry James', 'Helen Forrest']","[950571, 673360]",0.283,0.223,0.383,75.249,-9.699,1,0,0.941,0.00131,0.301,0.0304,0,203773,3,1927,1927,"It's Been a Long, Long Time",,Jazz,0
43970,['Jimmy McPartland'],[765773],0.621,0.464,0.927,199.693,-11.3,1,7,0.992,0.734,0.103,0.143,0,168760,15,1928,1928,It's Tight Like That,,Jazz,0
19620,['Charlie Christian'],[805930],0.728,0.249,0.874,146.227,-12.301,1,8,0.986,0.304,0.0905,0.0414,0,168253,17,1928,1928,Rose Room (feat. Benny Goodman & Charlie Christian),,Jazz,0
19621,['Charlie Christian'],[805930],0.692,0.139,0.501,87.804,-13.802,0,7,0.983,0.0959,0.114,0.0382,0,192693,16,1928,1928,Memories Of You (feat. Charlie Christian),,Jazz,0
19622,['Charlie Christian'],[805930],0.809,0.485,0.874,115.533,-9.615,1,5,0.893,0.755,0.0899,0.0375,0,200867,10,1928,1928,Air Mail Special (Good Enough to Keep) (feat. Benny Goodman & Charlie Christian),,Jazz,0
61184,['Milt Hinton'],[494537],0.633,0.132,0.25,104.466,-14.174,1,2,0.9,0.622,0.338,0.0372,0,166067,0,1930,1930,Ebony Silhouette,,Jazz,0
