,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
10658,['Barney'],[784597],0.716,0.322,0.816,104.069,-17.076,1,2,0.29,0.0,0.0519,0.19,0,65067,46,2006,1/1/2006,Mister Sun,Children's,19.0
10662,['Barney'],[784597],0.858,0.236,0.924,119.983,-15.577,0,4,0.53,0.0,0.101,0.0489,0,33493,52,2003,1/1/2003,Clean Up,Children's,19.0
44564,['Joel Grey'],[808626],0.518,0.225,0.364,87.367,-12.426,0,8,0.935,0.0,0.145,0.16,0,233227,26,1972,1/1/1972,If You Could See Her,Children's,19.0
7399,['Alvin & the Chipmunks'],[744969],0.74,0.473,0.876,87.511,-7.821,1,0,0.767,0.0,0.324,0.0333,0,106865,9,1962,1/1/1962,Santa Claus Is Comin' To Town,Children's,19.0
10665,['Barney'],[784597],0.897,0.306,0.96,142.017,-10.546,1,4,0.458,0.0,0.0756,0.043,0,86000,41,2000,1/1/2000,If All The Raindrops,Children's,19.0
44563,['Joel Grey'],[808626],0.555,0.398,0.711,98.382,-11.92,1,8,0.907,5.4e-06,0.287,0.0409,0,191960,29,1972,1/1/1972,Two Ladies,Children's,19.0
10660,['Barney'],[784597],0.663,0.462,0.877,78.235,-12.236,1,4,0.576,0.000118,0.127,0.0444,0,105760,34,2000,1/1/2000,Apples And Bananas,Children's,19.0
7395,['Alvin & the Chipmunks'],[744969],0.851,0.486,0.633,113.32,-6.466,1,0,0.735,6.74e-06,0.313,0.118,0,132400,11,1961,1/1/1961,If You Love Me (Alouette),Children's,19.0
10661,['Barney'],[784597],0.899,0.431,0.951,99.979,-10.249,1,0,0.0883,0.000147,0.128,0.0446,0,76440,33,2000,1/1/2000,The Wheels On The Bus,Children's,19.0
7396,['Alvin & the Chipmunks'],[744969],0.49,0.604,0.864,178.366,-8.136,1,3,0.78,0.0,0.471,0.037,0,105717,10,1962,1/1/1962,Here Comes Santa Claus (Right Down Santa Claus Lane),Children's,19.0
7415,['Alvin & the Chipmunks'],[744969],0.73,0.721,0.838,114.963,-4.301,1,5,0.791,6.27e-05,0.178,0.0962,0,118093,17,1961,1/1/1961,Yankee Doodle,Children's,19.0
7418,['Alvin & the Chipmunks'],[744969],0.878,0.399,0.786,108.422,-6.87,1,3,0.775,2.18e-05,0.0761,0.161,0,80373,13,1961,1/1/1961,Pop Goes The Weasel,Children's,19.0
7394,['Alvin & the Chipmunks'],[744969],0.633,0.399,0.699,140.367,-7.662,1,2,0.861,0.000102,0.885,0.283,0,126387,9,1960,1/1/1960,Stuck In Arabia,Children's,19.0
