,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
3007,['Wolfgang Amadeus Mozart'],[26350],0.245,0.0473,0.128,69.457,-23.563,1,0,0.963,0.0789,0.0798,0.0494,0,344640,43,1997,1997,"Mozart: ******** No. ** in G Major, K. *** ""Eine kleine Nachtmusik"": II. Romanze (Andante)",Classical,2.0
3343,['Wolfgang Amadeus Mozart'],[26350],0.513,0.355,0.518,84.371,-13.625,1,10,0.966,0.403,0.0805,0.0345,0,350253,0,1938,1938,"Trio No. 3 in B-Flat Major, K. **** III. Allegretto",Classical,2.0
57320,['Maria Callas'],[740576],0.449,0.0743,0.225,142.619,-24.281,0,10,0.919,9.45e-06,0.656,0.393,0,26693,0,1955,1955,"La Forza del Destino ***** - Remaster), Act I: M'aiuti, signorina, piu presto andrem",Classical,2.0
3266,['Wolfgang Amadeus Mozart'],[26350],0.41,0.136,0.531,142.4,-17.354,1,7,0.988,0.756,0.0885,0.0354,0,478373,0,1947,1947,"Violin Sonata in G Major, *********** I. Allegro con spirito",Classical,2.0
3377,['Wolfgang Amadeus Mozart'],[26350],0.453,0.176,0.493,126.87,-18.243,1,3,0.987,0.0796,0.155,0.0508,0,229400,9,1955,1955,"Le nozze di Figaro, K. **** Act II Scene *** Voi signor, che giusto siete (Marcellina, Basilio, Bartolo, Conte, Contessa, Figaro, Susanna)",Classical,2.0
53367,['Leonard Bernstein'],[239859],0.351,0.521,0.429,155.922,-10.583,0,0,0.713,0.54,0.0631,0.0591,0,243107,0,1950,1950,On the Town: Act I: Dance - Times Square,Classical,2.0
3582,['Wolfgang Amadeus Mozart'],[26350],0.387,0.246,0.282,86.6,-12.301,0,0,0.97,0.872,0.0676,0.0441,0,333720,0,1948,1948,"Quintet No. * in C Minor for Strings, K. 406 ******* I. Allegro",Classical,2.0
53236,['Leonard Bernstein'],[239859],0.363,0.0427,0.087,105.207,-25.287,1,1,0.96,0.405,0.365,0.0499,0,71787,9,1950,1950,Pictures at an Exhibition: III. Tuileries (Dispute d'enfants après jeux),Classical,2.0
53031,['Leonard Bernstein'],[239859],0.249,0.0279,0.034,173.685,-16.85,0,7,0.983,0.874,0.44,0.0553,0,58693,11,1958,1958,The Rite of Spring (Scenes of Pagan Russia in Two Parts): Summoning of the Ancestors,Classical,2.0
53155,['Leonard Bernstein'],[239859],0.0861,0.124,0.0326,169.057,-22.091,0,8,0.975,0.932,0.0698,0.0422,0,630640,8,1961,1961,"Prélude à l'après-midi d'un faune, L. 86",Classical,2.0
36988,['Glenn Gould'],[803752],0.486,0.357,0.973,100.193,-19.652,0,7,0.991,0.898,0.102,0.0478,0,63267,19,1964,1964,"Invention No. 8 in F Major, BWV 779 - Remastered",Classical,2.0
53259,['Leonard Bernstein'],[239859],0.414,0.523,0.114,134.831,-11.759,1,5,0.751,0.305,0.176,0.244,0,396933,35,1961,1961,West Side Story: Act I: Prologue,Classical,2.0
3272,['Wolfgang Amadeus Mozart'],[26350],0.329,0.0818,0.229,118.256,-20.436,1,3,0.984,0.269,0.0874,0.0455,0,270600,1,1948,1948,"Sonata, K. 378, in B-Flat: Andantino sostenuto e cantabile",Classical,2.0
3048,['Wolfgang Amadeus Mozart'],[26350],0.529,0.158,0.648,94.553,-15.185,1,10,0.976,0.0692,0.122,0.0542,0,351747,0,1948,1948,"Sonata, K. 454, in B Flat: Rondo: Allegretto",Classical,2.0
36773,['Giuseppe di Stefano'],[731975],0.369,0.0963,0.236,111.005,-13.806,1,11,0.984,3.81e-05,0.0825,0.0384,0,158867,20,1956,1956,"Rigoletto, Act III: La donna è mobile (Duca/Sparafucile/Rigoletto)",Classical,2.0
2932,['Wolfgang Amadeus Mozart'],[26350],0.321,0.195,0.776,175.962,-12.697,1,3,0.897,0.882,0.161,0.0333,0,190360,0,1948,1948,"Symphony No. 39 in E-Flat Major, K. 543: III. Menuetto. Allegretto - Trio",Classical,2.0
3559,['Wolfgang Amadeus Mozart'],[26350],0.442,0.0802,0.414,118.977,-21.277,1,7,0.981,0.529,0.124,0.0468,0,399547,46,1990,12/29/1990,"Violin Concerto No. 3 in G Major, K. **** III. Rondeau. Allegro",Classical,2.0
2951,['Wolfgang Amadeus Mozart'],[26350],0.447,0.142,0.598,130.794,-16.739,1,10,0.956,0.00543,0.071,0.0609,0,396053,1,1954,1954,Duo No. ** K. **** in B-Flat: Adagio; Allegro,Classical,2.0
37139,['Glenn Gould'],[803752],0.379,0.313,0.927,95.976,-20.558,0,2,0.99,0.864,0.0909,0.0397,0,248907,30,1960,1960,"Italian Concerto in F Major, BWV **** I. -",Classical,2.0
3191,['Wolfgang Amadeus Mozart'],[26350],0.412,0.12,0.477,138.355,-26.555,1,2,0.992,0.917,0.2,0.0381,0,300493,25,1981,1/1/1981,"Piano Sonata ***** in D, K.576: ** Allegro",Classical,2.0
57372,['Maria Callas'],[740576],0.207,0.128,0.0391,74.019,-13.19,1,2,0.969,0.000184,0.0672,0.0452,0,292853,18,1955,1955,"Giordano: Andrea Chénier, Act 3: ""La mamma morta"" (Maddalena)",Classical,2.0
37186,['Glenn Gould'],[803752],0.467,0.283,0.943,98.87,-19.765,0,9,0.995,0.805,0.123,0.0483,0,106267,24,1957,1957,"******* No. 3 in A Minor, BWV **** V. Burlesca",Classical,2.0
68553,['Pierre Boulez'],[795288],0.33,0.531,0.441,156.088,-14.28,0,0,0.918,0.835,0.217,0.0605,0,118933,0,1948,1948,"Le sacre du printemps ***** version): Pt. * ""Adoration of the Earth"", Games of the Rival Clans",Classical,2.0
36753,['Giuseppe di Stefano'],[731975],0.32,0.124,0.116,77.969,-15.88,1,6,0.987,0.000589,0.103,0.043,0,292560,2,1953,1953,"Puccini: Tosca, Act 3: ""O dolci mani"" (Cavaradossi, Tosca)",Classical,2.0
2797,['Wolfgang Amadeus Mozart'],[26350],0.408,0.182,0.51,116.05,-14.076,1,9,0.99,0.861,0.0734,0.038,0,558613,0,1942,1942,"Clarinet Concerto in A Major, K. **** III. Rondo. Allegro",Classical,2.0
3026,['Wolfgang Amadeus Mozart'],[26350],0.341,0.151,0.248,137.696,-17.515,1,0,0.986,0.899,0.101,0.0334,0,884853,4,1953,1953,"Piano Concerto No. ** in C Major, K. 467: I. Allegro maestoso",Classical,2.0
36959,['Glenn Gould'],[803752],0.559,0.318,0.92,98.709,-18.701,1,7,0.99,0.881,0.126,0.0368,0,42867,9,1956,1956,"Goldberg Variations, BWV 988: Variation *** Fughetta. a * Clav. - **** Version",Classical,2.0
3065,['Wolfgang Amadeus Mozart'],[26350],0.138,0.105,0.0721,166.321,-22.314,1,5,0.985,0.94,0.0933,0.0362,0,461520,0,1952,1952,"Piano Concerto No. ** in C Major, K. 467 ""Elvira Madigan"": II. Andante",Classical,2.0
3147,['Wolfgang Amadeus Mozart'],[26350],0.415,0.141,0.415,142.462,-17.415,1,10,0.924,0.355,0.0922,0.0458,0,389960,0,1948,1948,"Quintet No. * in B-Flat Major for Strings, K. **** I. Allegro moderato",Classical,2.0
2900,['Wolfgang Amadeus Mozart'],[26350],0.546,0.156,0.466,80.106,-18.601,1,2,0.942,8.83e-06,0.226,0.0617,0,154667,22,1964,1/1/1964,"Die Zauberflöte, ***** / Erster Aufzug: ""Der Vogelfänger bin ich ja""",Classical,2.0
53119,['Leonard Bernstein'],[239859],0.0766,0.121,0.0384,80.89,-19.99,1,4,0.847,0.887,0.235,0.0401,0,231840,9,1961,1961,"Symphonic Dances (From ""West Side Story""): II. ********* - Adagio",Classical,2.0
3091,['Wolfgang Amadeus Mozart'],[26350],0.421,0.0336,0.166,125.293,-29.705,1,9,0.994,0.941,0.143,0.0467,0,825800,28,1981,1/1/1981,"Piano Sonata ***** in A, ***** -""Alla Turca"": ** Tema (Andante grazioso) con variazioni",Classical,2.0
7776,['André Previn'],[30250],0.292,0.244,0.344,180.196,-13.9,1,7,0.839,0.805,0.283,0.0546,0,33400,4,1953,11/26/1953,"Electric Sign (Another Openin', Another Show)",Classical,2.0
36997,['Glenn Gould'],[803752],0.389,0.394,0.977,109.506,-18.902,0,4,0.992,0.901,0.147,0.0522,0,54693,8,1956,1956,"Goldberg Variations, BWV 988: Variation ** a * Clav. - **** Version",Classical,2.0
3053,['Wolfgang Amadeus Mozart'],[26350],0.374,0.155,0.425,72.44,-13.564,1,0,0.956,0.91,0.142,0.05,0,248880,0,1948,1948,"Così fan tutte, K. 588: Overture - Remastered",Classical,2.0
3393,['Wolfgang Amadeus Mozart'],[26350],0.256,0.206,0.126,83.462,-13.305,1,10,0.984,0.0059,0.128,0.0562,0,220683,1,1927,1/1/2027,"Die Zauberflöte, K. **** Dies Bildnis ist bezaubernd schön",Classical,2.0
53015,['Leonard Bernstein'],[239859],0.13,0.176,0.171,80.032,-11.841,1,1,0.791,3.2e-05,0.144,0.04,0,155413,15,1961,1961,West Side Story: Act I: Maria,Classical,2.0
2949,['Wolfgang Amadeus Mozart'],[26350],0.276,0.129,0.245,80.198,-19.957,1,2,0.931,3.55e-05,0.27,0.0658,0,372267,0,1954,1954,"Don Giovanni, K. *** Act * Scene *** ""Ah! Dov'è il perfido?""",Classical,2.0
3362,['Wolfgang Amadeus Mozart'],[26350],0.486,0.161,0.513,125.953,-16.105,1,7,0.973,0.0812,0.112,0.0457,0,372733,0,1947,1947,"Violin Concerto No. 3 in G Major, K. **** III. Rondeau. Allegro",Classical,2.0
3034,['Wolfgang Amadeus Mozart'],[26350],0.166,0.111,0.0398,132.409,-20.708,1,5,0.956,0.0927,0.108,0.0375,0,215600,6,1956,1/1/1956,"Die Zauberflöte, ***** / Act ** ""O Isis und Osiris""",Classical,2.0
