,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
11928,['Bill Cosby'],[70534],0.641,0.444,0.741,78.101,-16.589,1,6,0.945,0.0,0.7,0.95,0,58240,10,1964,1964,Oops!,Comedy/Spoken,4.0
1304,['Jack Kerouac'],[120487],0.59,0.0597,0.551,61.039,-22.86,1,1,0.965,0.0,0.0896,0.267,0,75667,13,1959,1959,Abraham (with Steve Allen),Comedy/Spoken,4.0
11903,['Bill Cosby'],[70534],0.605,0.89,0.281,61.384,-12.366,1,1,0.914,0.0,0.852,0.939,0,63440,15,1963,1963,Superman,Comedy/Spoken,4.0
72809,['Robin Williams'],[287860],0.485,0.506,0.118,108.277,-22.268,1,6,0.858,1.66e-05,0.828,0.902,1,223432,24,1983,1/1/1983,Back Home,Comedy/Spoken,4.0
7813,['Andrew Dice Clay'],[752150],0.388,0.658,0.195,79.992,-12.845,1,2,0.745,0.0,0.965,0.679,0,207093,26,1989,1/1/1989,****** Goose,Comedy/Spoken,4.0
28796,['Eddie Murphy'],[142208],0.699,0.696,0.673,135.027,-13.045,1,11,0.0098,0.000345,0.0427,0.0458,0,253293,57,1985,2/5/1985,Party All the Time,Comedy/Spoken,4.0
77736,['Spinal Tap'],[12654],0.398,0.859,0.72,92.132,-10.572,1,9,0.00264,6.46e-05,0.0305,0.0499,0,156267,39,1984,1/1/1984,******* I'm Gonna Rock You *******,Comedy/Spoken,4.0
72036,['Richard Pryor'],[295415],0.545,0.667,0.42,77.909,-12.837,1,4,0.83,0.0,0.782,0.957,1,101627,43,1975,1975,**** vs. The Police - Remastered Version,Comedy/Spoken,4.0
1074,['Dick Gregory'],[211197],0.502,0.649,0.61,82.643,-13.369,1,8,0.947,5.82e-05,0.158,0.943,0,278547,4,1961,1961,*** Proof,Comedy/Spoken,4.0
72831,['Robin Williams'],[287860],0.592,0.545,0.3,125.352,-20.408,1,6,0.837,3.12e-05,0.948,0.897,1,192610,20,1983,1/1/1983,Devils Dandruff,Comedy/Spoken,4.0
72026,['Richard Pryor'],[295415],0.526,0.575,0.325,137.109,-14.181,0,6,0.89,0.0,0.706,0.943,1,426040,25,1975,1975,Wino & **** - Remastered Version,Comedy/Spoken,4.0
61706,['Mitch Hedberg'],[898946],0.547,0.878,0.305,111.661,-10.684,1,11,0.744,0.0,0.917,0.916,0,124907,40,2003,12/9/2003,Candy Bars,Comedy/Spoken,4.0
28795,['Eddie Murphy'],[142208],0.362,0.943,0.0374,83.906,-12.919,1,1,0.85,0.0,0.419,0.853,1,486853,21,1983,4/11/1983,******* Revisited / **** Prime - Live,Comedy/Spoken,4.0
92482,['Tom Lehrer'],[611877],0.418,0.211,0.664,72.864,-21.385,1,0,0.963,0.0,0.923,0.86,0,102760,12,1960,1/1/1960,The Old Dope Peddler,Comedy/Spoken,4.0
92458,['Tom Lehrer'],[611877],0.575,0.576,0.694,141.717,-12.972,1,7,0.873,0.0,0.786,0.914,0,268680,29,1965,1/1/1965,New Math,Comedy/Spoken,4.0
72035,['Richard Pryor'],[295415],0.531,0.674,0.468,78.778,-12.158,1,8,0.822,0.0,0.908,0.955,1,101773,58,2001,10/2/2001,**** vs. The Police,Comedy/Spoken,4.0
