,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
36841,['Glen Campbell'],[664378],0.561,0.608,0.566,75.665,-5.517,1,7,0.748,0.00358,0.185,0.0253,0,166347,26,1970,1/1/1970,Home *****,Country,1.0
46932,['Johnny Lee'],[240267],0.676,0.424,0.595,120.089,-15.863,1,7,0.454,9.62e-05,0.158,0.03,0,170773,32,1980,5/6/1980,One in a Million,Country,1.0
6608,['Alan Jackson'],[605375],0.699,0.477,0.83,118.382,-9.339,1,2,0.291,0.0,0.164,0.031,0,185427,54,1989,1989,Pop a Top,Country,1.0
48664,['June Carter Cash'],[838300],0.407,0.283,0.449,129.129,-12.937,1,7,0.793,6.06e-05,0.256,0.0302,0,288960,5,1952,1952,Song To John,Country,1.0
6590,['Alan Jackson'],[605375],0.75,0.508,0.599,105.651,-10.693,1,7,0.186,1.81e-06,0.204,0.0259,0,177507,33,1992,10/9/1992,Tropical Depression,Country,1.0
46566,['Johnny Cash'],[816890],0.552,0.207,0.639,77.474,-16.783,1,8,0.917,0.0,0.505,0.316,0,114747,47,1968,5/1/1968,"The Wall - Live at Folsom State Prison, Folsom, CA - January ****",Country,1.0
13094,['Billy Currington'],[81739],0.651,0.699,0.36,141.938,-5.006,1,5,0.213,0.000265,0.12,0.0265,0,231360,65,2008,1/1/2008,People Are Crazy,Country,1.0
46355,['Johnny Cash'],[816890],0.862,0.512,0.654,126.821,-9.63,1,4,0.476,4.43e-05,0.169,0.108,0,182160,16,1963,2/1/1963,Tell Him I'm Gone,Country,1.0
81352,['Tennessee Ernie Ford'],[20403],0.468,0.139,0.368,80.49,-13.189,0,3,0.969,1.37e-06,0.127,0.0777,0,274707,21,1961,7/10/1961,********** Bloody Soil,Country,1.0
38749,['Hank Williams'],[549797],0.601,0.178,0.514,102.815,-15.778,1,7,0.815,0.0,0.345,0.028,0,164040,23,1978,1/1/1978,I Saw The Light - Single Version,Country,1.0
36222,['George Strait'],[944084],0.642,0.233,0.333,114.495,-16.568,1,9,0.435,0.0,0.105,0.0298,0,193400,57,1985,1/1/1985,You Look So Good In Love,Country,1.0
49581,['Keith Whitley'],[81561],0.574,0.498,0.683,174.177,-9.131,1,5,0.656,0.000415,0.111,0.0256,0,227467,41,1984,1984,********** Doin' Me Right,Country,1.0
92118,['Tim McGraw'],[592954],0.492,0.823,0.702,94.342,-8.526,1,6,0.127,0.0,0.0523,0.0297,0,215173,67,1997,6/3/1997,Just To See You Smile,Country,1.0
13444,['Billy Ray Cyrus'],[76561],0.878,0.619,0.639,136.041,-5.56,1,6,0.0533,0.0,0.113,0.102,0,157067,85,2019,6/21/2019,Old Town Road - Remix,Country,1.0
92125,['Tim McGraw'],[592954],0.551,0.671,0.561,77.066,-7.888,1,7,0.191,2.49e-06,0.202,0.0286,0,283560,55,2002,11/26/2002,Red Ragtop,Country,1.0
96943,['Willie Nelson'],[583959],0.581,0.039,0.274,78.736,-17.957,1,5,0.939,0.00369,0.112,0.0336,0,192360,22,1968,9/1/1968,Sweet Memories,Country,1.0
46586,['Johnny Cash'],[816890],0.694,0.25,0.398,115.872,-11.384,1,6,0.772,7.47e-06,0.112,0.0433,0,118280,27,1957,10/11/1957,Remember Me,Country,1.0
58015,['Martina McBride'],[368112],0.693,0.683,0.748,118.388,-4.575,1,9,0.275,0.000101,0.0954,0.0292,0,206093,52,2001,9/17/2001,Independence Day,Country,1.0
