,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
2204,['Jackie Gleason'],[781399],0.571,0.125,0.38,107.662,-17.659,1,5,0.506,7.17e-05,0.0951,0.0357,0,164040,6,1957,1/1/1957,You're Driving Me Crazy,Easy Listening,5.0
7681,['André Kostelanetz'],[754767],0.189,0.146,0.146,74.685,-19.566,1,9,0.864,0.743,0.177,0.0388,0,389867,1,1947,1947,On the Trail from Grand Canyon Suite,Easy Listening,5.0
39571,['Henry Mancini'],[678009],0.377,0.114,0.244,87.793,-21.466,0,9,0.919,0.923,0.0988,0.0276,0,201747,33,1961,1961,Holly,Easy Listening,5.0
57922,['Martin Denny'],[311074],0.412,0.329,0.221,76.261,-14.855,0,4,0.688,0.0152,0.312,0.0588,0,130827,9,1957,1957,Shoshu ***** ********,Easy Listening,5.0
63524,['Nelson Riddle'],[322027],0.543,0.415,0.635,95.982,-10.574,1,8,0.376,0.00388,0.096,0.0315,0,144280,20,1964,1964,"Sawdust and Spangles and Dreams - From Billy Rose's ""Jumbo""",Easy Listening,5.0
2218,['Jackie Gleason'],[781399],0.214,0.241,0.154,88.954,-13.888,1,5,0.949,0.841,0.251,0.0334,0,222413,15,1952,11/3/1952,I Cover The Waterfront,Easy Listening,5.0
2195,['Jackie Gleason'],[781399],0.147,0.376,0.0389,71.336,-10.679,1,3,0.944,0.855,0.11,0.0372,0,209173,3,1956,12/1/1956,I've Got My Love To Keep Me Warm,Easy Listening,5.0
39518,['Henry Mancini'],[678009],0.673,0.418,0.784,132.546,-10.926,1,7,0.68,4.16e-05,0.296,0.0339,0,210067,16,1962,1962,Your ******** Feathers,Easy Listening,5.0
39683,['Herb Alpert & the Tijuana Brass'],[955773],0.571,0.278,0.203,100.906,-14.991,0,4,0.881,0.869,0.118,0.0291,0,210640,32,1966,5/9/1966,The Shadow Of Your Smile,Easy Listening,5.0
39668,['Herb Alpert & the Tijuana Brass'],[955773],0.452,0.238,0.37,118.075,-13.266,0,5,0.7,0.809,0.352,0.0338,0,180773,28,1962,12/1/1962,El Lobo (The Wolf),Easy Listening,5.0
2186,['Jackie Gleason'],[781399],0.186,0.07,0.107,121.984,-24.748,1,7,0.958,0.919,0.2,0.0362,0,140133,9,1962,4/2/1962,Where Are You?,Easy Listening,5.0
2263,['Jackie Gleason'],[781399],0.196,0.365,0.102,88.296,-10.977,1,0,0.852,0.856,0.228,0.034,0,201627,3,1954,1/18/1954,Affair,Easy Listening,5.0
9161,['Arthur Lyman'],[607028],0.396,0.0139,0.304,130.852,-34.16,1,5,0.928,0.954,0.0882,0.0572,0,164240,20,1958,1958,Song of the Islands,Easy Listening,5.0
57997,['Martin Denny'],[311074],0.408,0.208,0.355,138.257,-18.43,1,1,0.656,1.01e-05,0.0966,0.0292,0,137147,14,1959,1/1/1959,*** *****,Easy Listening,5.0
71170,['Ray Conniff'],[869487],0.33,0.534,0.589,139.343,-15.118,0,10,0.117,0.766,0.334,0.0445,0,190000,21,1962,1962,African Safari,Easy Listening,5.0
75395,['Sergio Mendes'],[2330],0.84,0.503,0.78,107.149,-13.006,1,9,0.304,2.74e-05,0.0683,0.03,0,242707,32,1987,1/1/1987,Alibis,Easy Listening,5.0
2179,['Jackie Gleason'],[781399],0.0912,0.151,0.0803,172.44,-18.189,0,7,0.941,0.575,0.105,0.0398,0,194280,8,1957,1/1/1957,You Were Meant For Me,Easy Listening,5.0
2198,['Jackie Gleason'],[781399],0.267,0.169,0.0545,61.383,-18.309,0,9,0.943,0.891,0.115,0.0388,0,155240,4,1956,12/1/1956,Happy Holiday,Easy Listening,5.0
39525,['Henry Mancini'],[678009],0.628,0.31,0.607,139.97,-16.637,1,5,0.941,0.866,0.112,0.033,0,198200,12,1959,1959,The Floater,Easy Listening,5.0
39579,['Henry Mancini'],[678009],0.499,0.207,0.719,115.763,-19.445,1,0,0.923,0.0145,0.105,0.0352,0,165773,41,1963,1963,Champagne And Quail,Easy Listening,5.0
2166,['Jackie Gleason'],[781399],0.155,0.167,0.0751,106.335,-17.295,1,5,0.981,0.913,0.106,0.0359,0,186187,17,1965,4/12/1965,I Wish You Love,Easy Listening,5.0
9121,['Arthur Lyman'],[607028],0.297,0.161,0.141,183.123,-17.0,1,3,0.977,0.245,0.132,0.0598,0,158013,0,1953,1953,Christmas Song,Easy Listening,5.0
71205,['Ray Conniff'],[869487],0.217,0.185,0.108,123.327,-15.708,1,5,0.763,0.618,0.219,0.0331,0,179467,34,1957,1957,In The Still Of The *****,Easy Listening,5.0
2178,['Jackie Gleason'],[781399],0.171,0.292,0.0925,76.577,-13.421,1,7,0.845,0.871,0.438,0.0375,0,172280,9,1957,1/1/1957,When Your Lover Has Gone,Easy Listening,5.0
9139,['Arthur Lyman'],[607028],0.552,0.0342,0.67,119.323,-29.519,1,2,0.953,0.828,0.0937,0.0497,0,164920,8,1961,1961,Yellow Bird,Easy Listening,5.0
2161,['Jackie Gleason'],[781399],0.64,0.471,0.215,127.758,-12.543,1,11,0.821,0.0,0.966,0.926,0,353280,1,1954,5/3/1954,Casey At The Bat - Live,Easy Listening,5.0
39704,['Herb Alpert & the Tijuana Brass'],[955773],0.695,0.337,0.63,114.13,-14.22,0,7,0.703,0.0889,0.13,0.0314,0,165333,23,1965,10/1/1965,Felicia,Easy Listening,5.0
9143,['Arthur Lyman'],[607028],0.562,0.15,0.124,138.392,-20.196,1,7,0.855,0.936,0.0626,0.041,0,206867,7,1958,1958,**** Hawaii,Easy Listening,5.0
2227,['Jackie Gleason'],[781399],0.264,0.196,0.0663,65.681,-13.056,1,1,0.935,0.911,0.111,0.0329,0,183080,22,1954,8/2/1954,I'll Be Seeing You,Easy Listening,5.0
7685,['André Kostelanetz'],[754767],0.222,0.075,0.0667,83.12,-23.538,1,2,0.922,0.937,0.114,0.035,0,160267,1,1946,1946,Les contes *********** Barcarolle,Easy Listening,5.0
39649,['Herb Alpert & the Tijuana Brass'],[955773],0.496,0.286,0.188,104.927,-14.749,0,9,0.697,0.916,0.115,0.0265,0,154307,15,1966,5/9/1966,Cantina ****,Easy Listening,5.0
57952,['Martin Denny'],[311074],0.521,0.38,0.234,81.963,-13.783,1,5,0.306,0.000112,0.0691,0.0315,0,163120,7,1958,1/1/1958,Sukara,Easy Listening,5.0
39515,['Henry Mancini'],[678009],0.285,0.622,0.796,103.197,-8.726,1,7,0.435,0.573,0.106,0.0409,0,117400,8,1958,1958,Mystery Movie Theme,Easy Listening,5.0
2229,['Jackie Gleason'],[781399],0.151,0.164,0.0741,84.872,-13.455,1,5,0.957,0.849,0.145,0.0328,0,206280,20,1954,8/2/1954,I Got It Bad (And That Ain't Good),Easy Listening,5.0
39511,['Henry Mancini'],[678009],0.679,0.213,0.494,127.974,-16.88,0,0,0.964,0.881,0.112,0.0402,0,214000,12,1959,1959,Brief and Breezy,Easy Listening,5.0
66911,['Paul Mauriat'],[22574],0.361,0.426,0.296,108.953,-13.069,1,9,0.0288,0.00344,0.131,0.0345,0,169000,44,1987,1/1/1987,Mamy **** - ************,Easy Listening,5.0
71198,['Ray Conniff'],[869487],0.586,0.263,0.242,113.975,-12.487,1,3,0.823,0.771,0.0891,0.032,0,196867,37,1960,1960,***** and Day,Easy Listening,5.0
71159,['Ray Conniff'],[869487],0.633,0.428,0.843,121.176,-15.217,1,4,0.736,0.0,0.149,0.0322,0,259200,20,1962,1962,The Twelve Days of Christmas,Easy Listening,5.0
67665,['Percy Faith'],[305541],0.204,0.403,0.24,99.508,-9.611,1,2,0.899,0.85,0.142,0.0335,0,192973,18,1963,11/12/1963,Tennessee Waltz,Easy Listening,5.0
57959,['Martin Denny'],[311074],0.654,0.349,0.734,126.059,-16.28,0,0,0.642,0.185,0.0814,0.0655,0,146987,7,1959,1/1/1959,Manila,Easy Listening,5.0
2157,['Jackie Gleason'],[781399],0.081,0.0909,0.0576,174.301,-21.265,0,2,0.958,0.891,0.0881,0.0367,0,216387,17,1963,4/29/1963,**** Me Irresponsible,Easy Listening,5.0
28906,['Eden Ahbez'],[53441],0.509,0.058,0.261,80.918,-18.418,0,2,0.988,0.127,0.096,0.0361,0,223013,33,1960,1960,The Wanderer,Easy Listening,5.0
2257,['Jackie Gleason'],[781399],0.243,0.208,0.106,116.364,-14.103,0,5,0.878,0.355,0.206,0.034,0,197413,16,1957,1/1/1957,The Man I Love,Easy Listening,5.0
39535,['Henry Mancini'],[678009],0.622,0.651,0.944,142.027,-6.758,1,7,0.268,0.402,0.159,0.0363,0,131240,5,1958,1958,Oklahoma Crude,Easy Listening,5.0
63529,['Nelson Riddle'],[322027],0.483,0.454,0.742,119.729,-12.514,0,9,0.552,8.13e-05,0.126,0.0308,0,245133,14,1962,6/21/1962,Charlotte Is Dead (Thoughts of Lolita),Easy Listening,5.0
57910,['Martin Denny'],[311074],0.597,0.129,0.202,92.291,-21.664,1,5,0.529,0.888,0.111,0.0333,0,177320,10,1958,1/1/1958,Bali Ha'i,Easy Listening,5.0
63548,['Nelson Riddle'],[322027],0.438,0.484,0.905,32.466,-12.524,1,0,0.341,0.0661,0.829,0.0301,0,104067,8,1962,1/1/1962,"Theme From ""Ben Casey""",Easy Listening,5.0
39570,['Henry Mancini'],[678009],0.549,0.393,0.855,143.501,-16.267,1,7,0.855,0.708,0.0928,0.0336,0,191507,35,1961,1961,********* For The Cat,Easy Listening,5.0
97886,['Yma Sumac'],[685751],0.435,0.349,0.272,127.736,-11.345,1,6,0.914,0.0845,0.123,0.0859,0,195930,0,1951,1/1/1951,Najla's Lament,Easy Listening,5.0
39662,['Herb Alpert & the Tijuana Brass'],[955773],0.679,0.518,0.515,155.062,-11.52,0,0,0.642,0.284,0.249,0.0572,0,91840,41,1965,4/1/1965,Green Peppers,Easy Listening,5.0
39561,['Henry Mancini'],[678009],0.39,0.0235,0.155,133.403,-19.695,1,5,0.937,0.00128,0.099,0.0345,0,125585,58,1961,1961,Moon River(Vocal Audrey Hepburn),Easy Listening,5.0
39522,['Henry Mancini'],[678009],0.593,0.463,0.337,142.975,-9.733,1,6,0.522,0.0,0.132,0.048,0,130723,0,1946,2/1/1946,Bachelor in Paradise ****** Main ***** Song,Easy Listening,5.0
39534,['Henry Mancini'],[678009],0.328,0.322,0.201,102.609,-11.656,1,2,0.974,0.000253,0.216,0.0302,0,143573,6,1958,1958,Nothing To Lose,Easy Listening,5.0
2264,['Jackie Gleason'],[781399],0.206,0.25,0.0813,115.53,-11.51,1,5,0.942,0.858,0.392,0.0362,0,203173,4,1954,5/3/1954,Our Love Is Here To Stay,Easy Listening,5.0
9156,['Arthur Lyman'],[607028],0.254,0.00619,0.114,141.52,-37.279,1,5,0.979,0.756,0.0912,0.0484,0,142053,26,1958,1958,Queen ********,Easy Listening,5.0
7684,['André Kostelanetz'],[754767],0.586,0.376,0.722,127.824,-12.22,1,3,0.762,0.074,0.126,0.0914,0,115840,2,1945,1945,Fossils from Carnival of the Animals,Easy Listening,5.0
7676,['André Kostelanetz'],[754767],0.165,0.0593,0.0469,69.9,-24.001,1,6,0.986,0.889,0.125,0.0388,0,717373,2,1944,1944,Piano Concerto in F Major: II. Adagio - Andante con moto,Easy Listening,5.0
9115,['Arthur Lyman'],[607028],0.355,0.00867,0.22,141.955,-37.978,1,0,0.952,0.935,0.072,0.0564,0,161467,10,1958,1958,Waipio,Easy Listening,5.0
