,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
42440,['Jean-Jacques Perrey'],[189641],0.74,0.868,0.982,162.822,-8.535,1,0,0.449,0.814,0.0619,0.0385,0,117000,30,1968,1968,Brazilian Flower,Electronic,3.0
13527,['Bingo Players'],[999790],0.744,0.957,0.529,127.991,-4.8,1,7,0.00152,0.884,0.352,0.0519,0,287184,59,2011,10/31/2011,Rattle,Electronic,3.0
94145,['Utah Saints'],[304102],0.53,0.95,0.507,126.86,-10.553,1,6,0.000517,0.821,0.13,0.0423,0,355880,51,1992,1/1/1992,********* Good,Electronic,3.0
92032,['Tiësto'],[591459],0.634,0.927,0.35,128.016,-3.282,1,1,0.048,0.687,0.0864,0.136,0,256641,64,2015,9/14/2015,Split (Only U),Electronic,3.0
26411,['Disclosure'],[2528416],0.79,0.694,0.508,103.007,-7.726,0,9,0.145,0.00252,0.281,0.0708,0,181436,87,2020,2/4/2020,Know Your Worth,Electronic,3.0
50761,['Koop'],[776406],0.487,0.491,0.435,144.287,-12.063,1,2,0.595,0.147,0.113,0.0279,0,186880,49,2001,1/1/2001,Waltz for Koop,Electronic,3.0
98118,['Zara Larsson'],[3105903],0.694,0.712,0.799,98.022,-3.923,0,7,0.133,0.0,0.211,0.046,0,201122,77,2017,3/17/2017,Lush Life,Electronic,3.0
22946,['Daft Punk'],[667669],0.45,0.846,0.414,124.239,-9.996,0,11,0.038,0.266,0.222,0.102,0,370533,49,2007,11/16/2007,One More Time / Aerodynamic,Electronic,3.0
93699,['Troye Sivan'],[3271457],0.599,0.733,0.534,102.211,-7.058,1,11,0.176,0.0,0.242,0.203,0,162583,83,2020,3/6/2020,i'm so tired...,Electronic,3.0
1653,['Girl Talk'],[660155],0.592,0.786,0.438,102.52,-7.132,1,1,0.0426,2.12e-05,0.334,0.228,1,221840,42,2008,9/23/2008,Set It ***,Electronic,3.0
6138,['Air'],[607202],0.463,0.188,0.0504,130.061,-14.995,0,1,0.944,0.973,0.234,0.0296,0,161500,44,2000,2/25/2000,Highschool Lover,Electronic,3.0
51380,['Lamb'],[127301],0.524,0.853,0.138,105.982,-7.609,0,4,0.118,0.212,0.0914,0.0647,0,390427,50,1996,1/1/1996,Gorecki,Electronic,3.0
51026,['Kygo'],[3314964],0.677,0.497,0.419,99.137,-5.763,1,5,0.152,0.0,0.0911,0.0809,0,236853,72,2017,9/21/2017,Stargazing,Electronic,3.0
94615,['Various Artists'],[258947],0.542,0.59,0.882,137.985,-16.353,0,10,1.1e-05,0.0005,0.104,0.0342,0,263333,61,2008,3/24/2008,No More Words (Jeff Hardy),Electronic,3.0
