,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
93297,['Townes Van Zandt'],[744796],0.493,0.158,0.357,72.605,-15.938,1,3,0.577,3.87e-05,0.0801,0.038,0,184240,27,1969,1969-04,Like a Summer Thursday,Folk,15.0
53941,['Linda Perhacs'],[296815],0.368,0.188,0.0476,110.188,-17.199,1,5,0.986,0.945,0.115,0.0301,0,273480,29,1970,1970,Parallelograms,Folk,15.0
67861,['Pete Seeger'],[266160],0.452,0.428,0.379,68.226,-17.34,0,11,0.882,0.0,0.662,0.188,0,145933,8,1962,1962,Fifteen Miles On The Erie ***** - Live,Folk,15.0
67843,['Pete Seeger'],[266160],0.489,0.14,0.439,130.617,-19.962,1,4,0.905,0.0,0.163,0.0564,0,297440,9,1961,1/1/1961,The Dying Miner,Folk,15.0
72057,['Richie Havens'],[295545],0.669,0.816,0.881,120.39,-10.759,0,11,0.396,0.0383,0.162,0.0336,0,303573,48,1980,1980,Going Back to My Roots,Folk,15.0
93268,['Townes Van Zandt'],[744796],0.621,0.366,0.622,100.815,-12.201,1,11,0.632,0.0,0.15,0.0288,0,158707,35,1969,1969-04,Be Here to Love Me,Folk,15.0
68163,"['Peter, Paul and Mary']",[274321],0.457,0.161,0.571,134.592,-23.204,1,9,0.738,0.00558,0.109,0.0346,0,152760,28,1962,1962,Bamboo,Folk,15.0
68169,"['Peter, Paul and Mary']",[274321],0.334,0.0599,0.118,101.194,-23.254,1,2,0.931,0.00111,0.116,0.0304,0,213440,29,1963,1963,Tiny Sparrow,Folk,15.0
45141,['John Fahey'],[223054],0.326,0.492,0.719,93.243,-8.334,1,11,0.837,0.817,0.11,0.0358,0,160800,22,1965,1965,Tell Her To Come Back Home,Folk,15.0
1113,['Woody Guthrie'],[577531],0.547,0.304,0.736,87.176,-10.529,1,4,0.977,0.00283,0.196,0.0379,0,182440,18,1962,1962,We Shall Be Free,Folk,15.0
60259,['Michael Hurley'],[394449],0.495,0.128,0.177,72.248,-13.501,0,11,0.981,0.528,0.0956,0.0319,0,126573,25,1971,9/1/1971,Troubled Waters,Folk,15.0
67866,['Pete Seeger'],[266160],0.173,0.54,0.445,89.285,-9.991,1,2,0.758,0.000504,0.633,0.0329,0,124307,7,1962,1962,"Michael, Row The Boat ****** - Live",Folk,15.0
1100,['Woody Guthrie'],[577531],0.686,0.0793,0.692,116.558,-17.551,1,4,0.985,0.00273,0.088,0.0642,0,118067,5,1958,1958,Merry-go-round,Folk,15.0
17695,['Burl Ives'],[536754],0.499,0.0334,0.397,106.329,-18.327,1,10,0.894,3.12e-05,0.117,0.0379,0,152400,22,1964,1/1/1964,Lavender **** (Dilly Dilly),Folk,15.0
93270,['Townes Van Zandt'],[744796],0.338,0.262,0.193,69.74,-15.015,1,9,0.523,0.0,0.0866,0.0481,0,262307,35,1969,1969-04,Our ****** the Mountain,Folk,15.0
44132,['Joan Baez'],[69153],0.395,0.0296,0.241,135.979,-19.82,0,7,0.936,4.07e-05,0.116,0.038,0,262560,22,1960,1960,John Riley,Folk,15.0
37459,['Gordon Lightfoot'],[667794],0.563,0.496,0.868,104.16,-13.059,1,2,0.673,2.49e-05,0.223,0.0305,0,153427,36,1993,10/5/1993,Did *** Mention My Name,Folk,15.0
93280,['Townes Van Zandt'],[744796],0.481,0.412,0.604,190.355,-13.197,1,4,0.362,0.0,0.591,0.109,0,150933,33,1971,1971,Two *****,Folk,15.0
92550,['Tom Rush'],[517264],0.366,0.357,0.268,73.31,-14.141,1,0,0.155,0.00189,0.512,0.0254,0,321360,16,1962,1962,Lost My Drivin' Wheel,Folk,15.0
1080,['Woody Guthrie'],[577531],0.524,0.129,0.319,111.177,-17.328,1,2,0.982,0.00226,0.109,0.051,0,181173,8,1958,1958,Clean-o,Folk,15.0
37512,['Gordon Lightfoot'],[667794],0.587,0.159,0.331,111.879,-18.531,1,2,0.853,0.0249,0.0884,0.0308,0,201040,32,1970,1970,******** Clothes,Folk,15.0
67914,['Pete Seeger'],[266160],0.747,0.247,0.805,119.243,-13.677,1,5,0.982,0.0333,0.125,0.0846,0,60867,4,1954,1/1/1954,Johnny Comes Down to Hilo,Folk,15.0
86640,['The Kingston Trio'],[102050],0.603,0.435,0.475,142.198,-14.017,1,0,0.483,0.0664,0.107,0.0431,0,158733,17,1961,6/5/1961,Coast Of California - Remastered,Folk,15.0
44109,['Joan Baez'],[69153],0.578,0.114,0.619,72.105,-19.965,1,0,0.487,0.0,0.102,0.0355,0,181093,19,1968,1968,You Ain't Goin' Nowhere,Folk,15.0
44108,['Joan Baez'],[69153],0.472,0.134,0.233,85.45,-17.817,1,11,0.884,0.000209,0.112,0.0332,0,164760,17,1965,1965,One Too Many Mornings,Folk,15.0
45130,['John Fahey'],[223054],0.327,0.451,0.139,111.868,-12.028,1,0,0.172,0.866,0.0939,0.0408,0,462000,16,1967,1967,Requiem For Molly - Pt. *,Folk,15.0
68418,['Phil Ochs'],[333634],0.618,0.217,0.465,120.641,-13.528,1,11,0.739,0.0,0.123,0.0499,0,182533,23,1965,1965,The Men Behind the Guns,Folk,15.0
92545,['Tom Rush'],[517264],0.422,0.165,0.303,157.286,-18.635,1,4,0.896,0.617,0.0944,0.0394,0,248533,31,1962,1962,Child's Song,Folk,15.0
64947,['Odetta'],[888730],0.52,0.139,0.529,103.25,-16.767,1,8,0.95,0.00349,0.137,0.0324,0,378960,40,1965,1965,Tomorrow Is a Long Time,Folk,15.0
68126,"['Peter, Paul and Mary']",[274321],0.473,0.0926,0.301,104.496,-24.898,0,10,0.858,0.00166,0.107,0.0291,0,229893,17,1963,1963,Old Coat,Folk,15.0
1082,['Woody Guthrie'],[577531],0.638,0.0689,0.695,120.16,-16.222,1,4,0.966,1.31e-06,0.102,0.0659,0,141507,34,1991,4/16/1991,I Want My Milk (I Want it Now),Folk,15.0
91676,['Theodore Bikel'],[588679],0.506,0.437,0.963,138.277,-15.314,0,9,0.762,0.906,0.114,0.0313,0,169920,20,1955,1955,Sudarinya,Folk,15.0
45457,['John Martyn'],[196969],0.628,0.299,0.404,78.175,-17.901,1,5,0.648,0.014,0.0781,0.0394,0,259840,32,1980,1/1/1980,**** People Are Crazy,Folk,15.0
21222,['Cisco Houston'],[112540],0.429,0.0281,0.451,91.673,-22.009,1,8,0.992,0.00101,0.0993,0.0363,0,183480,17,1952,1/1/1952,The Dying ******,Folk,15.0
1106,['Woody Guthrie'],[577531],0.694,0.202,0.634,138.357,-15.035,1,11,0.932,0.000751,0.113,0.151,0,112533,21,1958,1958,Riding in my car (Car song),Folk,15.0
67852,['Pete Seeger'],[266160],0.574,0.307,0.672,95.922,-16.198,1,8,0.986,0.0049,0.339,0.0393,0,130280,12,1962,1/1/1962,Red River Valley,Folk,15.0
86617,['The Kingston Trio'],[102050],0.649,0.144,0.458,125.74,-13.986,1,4,0.806,4.55e-06,0.105,0.0418,0,183973,43,1958,6/1/1958,Tom Dooley,Folk,15.0
52889,['Leo Kottke'],[45077],0.432,0.356,0.824,99.656,-18.018,1,5,0.49,0.907,0.0985,0.0424,0,132240,27,1974,1/1/1974,Ojo,Folk,15.0
93245,['Townes Van Zandt'],[744796],0.524,0.222,0.519,93.616,-19.418,1,4,0.856,9.68e-06,0.792,0.0537,0,227573,22,1977,1977,Tower Song - Live,Folk,15.0
697,"[""The Lovin' Spoonful""]",[52900],0.598,0.682,0.368,115.697,-7.158,1,0,0.00207,0.927,0.076,0.0391,0,161747,15,1967,1967-09,Speakin' Of Spoken,Folk,15.0
60264,['Michael Hurley'],[394449],0.775,0.429,0.862,126.245,-10.972,1,2,0.554,0.00104,0.119,0.0382,0,215533,21,1976,1/1/1976,Hog Of The Forsaken,Folk,15.0
45133,['John Fahey'],[223054],0.189,0.384,0.183,102.255,-13.796,1,0,0.517,0.834,0.103,0.0338,0,310000,33,1967,1967,Requiem For John Hurt,Folk,15.0
