,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
66364,['Parijat'],[4458],0.415,0.137,0.143,164.01,-18.489,0,4,0.938,0.938,0.081,0.035,0,493053,50,2008,11/11/2008,Reiki Healing Waves,New Age,10.0
36352,['George Winston'],[945269],0.438,0.145,0.319,113.346,-21.963,1,10,0.994,0.929,0.112,0.0745,0,60053,23,1984,1/1/1984,The Velveteen Rabbit,New Age,10.0
43418,['Jim Brickman'],[333539],0.288,0.251,0.426,146.327,-16.498,1,0,0.9,0.855,0.245,0.0397,0,152787,39,1995,1995,Angel Eyes,New Age,10.0
31268,['Enya'],[988471],0.117,0.0813,0.0594,80.574,-21.552,1,0,0.941,0.0777,0.173,0.0384,0,241267,39,1991,11/15/1991,Angeles,New Age,10.0
49692,['Ken Elkinson'],[74952],0.435,0.0278,0.119,133.316,-22.506,0,4,0.992,0.941,0.115,0.0496,0,336680,0,1941,1941,Carol Of The Bells,New Age,10.0
36366,['George Winston'],[945269],0.464,0.032,0.324,110.771,-25.001,1,10,0.971,0.81,0.092,0.0593,0,76273,40,1982,1/1/1982,Prelude,New Age,10.0
43142,['Jesse Cook'],[331666],0.534,0.548,0.368,154.943,-13.471,0,8,0.807,0.763,0.153,0.0334,0,246782,39,2000,1/1/2000,Virtue,New Age,10.0
31245,['Enya'],[988471],0.366,0.13,0.157,96.977,-22.303,1,5,0.764,0.956,0.102,0.03,0,218453,45,1988,1988,The Longships,New Age,10.0
51522,['Laraaji'],[121584],0.347,0.868,0.272,117.595,-9.658,0,6,0.707,0.945,0.0904,0.0381,0,555360,36,1980,1/1/1980,The Dance No. *,New Age,10.0
36387,['George Winston'],[945269],0.469,0.0179,0.0399,71.531,-21.014,1,5,0.994,0.939,0.101,0.0939,0,358004,36,1991,10/8/1991,Living Without You,New Age,10.0
31234,['Enya'],[988471],0.418,0.249,0.213,82.803,-13.744,1,3,0.841,0.661,0.112,0.0301,0,218547,71,2000,11/11/2000,Only Time,New Age,10.0
36345,['George Winston'],[945269],0.364,0.241,0.194,122.395,-14.462,1,8,0.964,0.9,0.113,0.0476,0,382986,36,1996,9/7/1996,Cast Your **** to the Wind,New Age,10.0
31227,['Enya'],[988471],0.22,0.0912,0.0917,136.293,-22.4,1,11,0.973,0.263,0.121,0.0436,0,198333,34,1995,11/20/1995,Once You Had Gold,New Age,10.0
