,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
54898,['Lord Invader'],[828740],0.665,0.739,0.82,90.845,-3.587,1,7,0.322,0.0141,0.0373,0.23,0,172160,1,1940,1/1/1940,Dock Site Baby,Reggae,8.0
87979,['The Paragons'],[893111],0.708,0.459,0.856,96.457,-9.039,1,3,0.666,0.00545,0.111,0.0296,0,189347,22,1967,1/1/1967,Island In the Sun,Reggae,8.0
14957,['Bob Marley & the Wailers'],[69402],0.918,0.37,0.49,131.884,-11.807,0,11,0.0184,0.00166,0.0802,0.0564,0,213920,63,1976,4/30/1976,Positive Vibration,Reggae,8.0
25579,['Desmond Dekker'],[819344],0.787,0.485,0.96,98.627,-9.659,1,0,0.333,3.16e-06,0.158,0.028,0,136653,21,1967,1/1/1967,Wiseman,Reggae,8.0
38206,['Gregory Isaacs'],[160848],0.927,0.313,0.943,128.952,-12.213,1,2,0.0825,0.00839,0.0804,0.12,0,217467,45,1982,1/1/1982,Material Man,Reggae,8.0
84636,['The Congos'],[66395],0.604,0.458,0.636,174.248,-15.055,0,4,0.432,0.00446,0.0804,0.161,0,328240,49,1977,1977,*********,Reggae,8.0
14898,['Bob Marley & the Wailers'],[69402],0.535,0.708,0.585,87.239,-12.245,1,0,0.144,0.000304,0.745,0.0817,0,477910,29,1975,12/5/1975,"**** ****** - Live At The Lyceum, London/July *******",Reggae,8.0
93605,['Tribal Seeds'],[1476233],0.746,0.695,0.591,164.022,-5.115,0,1,0.0873,7.29e-05,0.187,0.0817,0,312200,47,2009,5/26/2009,The Harvest,Reggae,8.0
33712,['Foxy Brown'],[188697],0.548,0.692,0.561,173.636,-9.856,0,11,0.282,0.0,0.0703,0.485,0,303533,45,1995,11/20/1995,I Shot Ya - Remix,Reggae,8.0
17704,['Burning Spear'],[641994],0.773,0.513,0.641,133.63,-9.438,1,0,0.055,0.00618,0.151,0.0854,0,190773,27,1975,2/12/1975,Give Me,Reggae,8.0
4518,['Aswad'],[603590],0.699,0.408,0.781,67.661,-14.477,1,8,0.459,0.000352,0.751,0.215,0,245827,32,1983,1/1/1983,Roots Rocking,Reggae,8.0
4506,['Shaggy'],[156938],0.875,0.815,0.85,98.943,-7.71,1,5,0.118,0.0,0.0788,0.0634,0,206093,45,1993,1/1/1993,Big Up,Reggae,8.0
14966,['Bob Marley & the Wailers'],[69402],0.766,0.525,0.864,122.448,-10.356,0,6,0.00839,0.0,0.055,0.099,0,231547,62,1978,3/23/1978,Is This Love,Reggae,8.0
27383,['Donovan'],[1276114],0.349,0.307,0.502,82.397,-10.331,0,4,0.757,8.24e-05,0.106,0.0327,0,236627,32,1966,1966-09,Bert's *****,Reggae,8.0
76264,['Sizzla'],[20740],0.891,0.399,0.761,139.948,-8.665,1,8,0.26,0.00061,0.0838,0.165,0,219933,53,2003,2003,Give Me A Try,Reggae,8.0
14879,['Bob Marley & the Wailers'],[69402],0.553,0.769,0.622,131.891,-9.279,0,11,0.0289,0.000121,0.518,0.135,0,474160,32,1978,3/23/1978,Jamming - Live At Ahoy ***********,Reggae,8.0
27388,['Donovan'],[1276114],0.454,0.332,0.426,115.202,-14.65,0,6,0.683,0.0311,0.146,0.0362,0,195560,33,1966,1966-09,***** King *******,Reggae,8.0
15056,['Bob Marley & the Wailers'],[69402],0.641,0.657,0.602,78.132,-9.354,1,1,0.276,0.0261,0.713,0.0604,0,428360,59,2002,1/1/2002,"No Woman, No Cry - Live At The Lyceum, ***********",Reggae,8.0
43861,['Jimmy Cliff'],[295276],0.824,0.631,0.898,81.461,-6.163,1,1,0.108,0.000595,0.175,0.114,0,222800,32,1969,1969,Treat the Youths Right,Reggae,8.0
78244,['Steel Pulse'],[745584],0.672,0.314,0.811,203.39,-14.057,0,9,0.0527,0.000133,0.0721,0.18,0,187733,27,1984,1984,Don't Give In,Reggae,8.0
40731,['Ini Kamoze'],[90011],0.818,0.476,0.61,74.402,-7.852,1,10,0.0116,4.91e-05,0.127,0.0959,0,276667,40,1984,1984,Hail mi idrin,Reggae,8.0
17626,['Buju Banton'],[939187],0.835,0.463,0.902,130.143,-11.402,1,8,0.611,0.0,0.102,0.105,0,273427,55,1995,1995,Untold Stories,Reggae,8.0
93604,['Tribal Seeds'],[1476233],0.756,0.539,0.741,134.951,-8.017,1,0,0.162,2.78e-05,0.373,0.0671,0,341280,56,2014,5/13/2014,Moonlight,Reggae,8.0
15075,['Bob Marley & the Wailers'],[69402],0.782,0.618,0.96,79.048,-7.222,1,8,0.313,0.000763,0.0894,0.187,0,356600,43,1984,5/1/1984,Waiting In Vain - *** Single Version,Reggae,8.0
26923,['Don Carlos'],[177957],0.784,0.448,0.551,79.236,-9.116,0,10,0.0784,0.000282,0.0538,0.0646,0,201667,40,1982,1982,I'm Not Crazy,Reggae,8.0
19565,['Charlie Chaplin'],[205627],0.345,0.181,0.159,143.008,-12.983,1,8,0.165,0.592,0.0782,0.0761,0,408161,0,1931,1931,Back from Europe / The Burglars,Reggae,8.0
19571,['Charlie Chaplin'],[205627],0.407,0.249,0.224,95.523,-11.675,1,6,0.979,0.831,0.154,0.069,0,690125,1,1942,1942,Return to the Cabin,Reggae,8.0
27420,['Donovan'],[1276114],0.387,0.282,0.615,156.028,-14.338,1,0,0.437,0.0,0.245,0.0524,0,195773,27,1967,1967-12,Sun,Reggae,8.0
21763,['Collie Buddz'],[476599],0.764,0.625,0.85,82.525,-7.453,0,7,0.409,0.00126,0.104,0.0724,0,214206,62,2015,11/13/2015,Smokin' Love (with Collie Buddz),Reggae,8.0
14941,['Bob Marley & the Wailers'],[69402],0.659,0.499,0.901,164.232,-11.351,0,1,0.242,0.00216,0.113,0.432,0,208520,33,1991,2/4/1991,Walk The Proud Land,Reggae,8.0
54888,['Lord Invader'],[828740],0.765,0.28,0.796,148.518,-11.163,1,5,0.974,1.96e-05,0.109,0.201,0,174267,20,1955,1/1/1955,"Brooklyn, Brooklyn!",Reggae,8.0
14982,['Bob Marley & the Wailers'],[69402],0.843,0.431,0.881,128.697,-12.012,1,7,0.204,0.00132,0.0546,0.331,0,310427,54,1974,1974,Lively Up Yourself,Reggae,8.0
75148,['Sean Paul'],[264350],0.835,0.757,0.626,82.038,-5.029,0,8,0.00647,0.0,0.29,0.23,0,274387,68,2006,5/2/2006,Snap Yo Fingers,Reggae,8.0
14986,['Bob Marley & the Wailers'],[69402],0.855,0.473,0.682,139.175,-9.846,0,11,0.0719,2.71e-05,0.0795,0.146,0,218400,58,1976,1976,"Roots, Rock, ******",Reggae,8.0
93597,['Tribal Seeds'],[1476233],0.714,0.587,0.628,77.009,-6.872,0,2,0.0162,0.0,0.0585,0.0395,0,290550,46,2011,7/19/2011,Soundwaves,Reggae,8.0
17662,['Bunny Wailer'],[636474],0.695,0.477,0.783,149.563,-12.181,0,9,0.738,0.774,0.074,0.136,0,405493,35,1976,1976,Armagideon (Armagedon),Reggae,8.0
19578,['Charlie Chaplin'],[205627],0.25,0.379,0.755,124.686,-10.536,1,1,0.91,0.831,0.936,0.0402,0,53220,2,1940,1940,Montage No. ** The Old Order Changeth,Reggae,8.0
43883,['Jimmy Cliff'],[295276],0.668,0.65,0.848,103.512,-6.292,1,1,0.7,0.0,0.125,0.0583,0,220533,55,1999,1/1/1999,The Harder They Come,Reggae,8.0
14910,['Bob Marley & the Wailers'],[69402],0.557,0.697,0.694,90.863,-11.491,0,11,0.227,0.0,0.826,0.11,0,620261,28,1975,12/5/1975,"Get Up Stand Up - Live At The Lyceum, London/July *******",Reggae,8.0
4499,['Shaggy'],[156938],0.853,0.606,0.654,94.759,-4.596,1,0,0.0561,0.0,0.313,0.0713,0,227600,76,2000,8/8/2000,It Wasn't Me,Reggae,8.0
