,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
95338,['Vladimir Horowitz'],[119107],0.381,0.0338,0.116,76.431,-23.149,0,0,0.994,0.927,0.158,0.0369,0,212000,0,1928,1928,"Fantasiestücke, Op. **** Con forza, ***** marcato",Unknown,17.0
95257,['Vladimir Horowitz'],[119107],0.329,0.263,0.126,82.622,-19.664,1,3,0.993,0.881,0.115,0.0421,0,492907,11,1930,1930,"Danse macabre, S. 555 (after Camille Saint-Saens)",Unknown,17.0
64870,['Oasis'],[1426593],0.372,0.865,0.478,174.53,-4.918,1,2,0.000453,0.0,0.234,0.0381,0,258733,71,1995,10/2/1995,Wonderwall - Remastered,Unknown,17.0
1330,['Blue Magic'],[53428],0.51,0.506,0.709,143.016,-13.327,1,5,0.257,0.00409,0.117,0.0576,0,432587,41,1974,1974,Just Don't Want to Be Lonely,Unknown,17.0
20468,['Chilliwack'],[773383],0.711,0.743,0.966,122.388,-6.769,0,11,0.0227,0.00108,0.291,0.0613,0,255093,40,1982,1982,Whatcha Gonna Do,Unknown,17.0
52869,['Leo Dan'],[817911],0.758,0.53,0.965,123.102,-8.068,1,4,0.679,0.0,0.362,0.0398,0,173347,43,2003,9/19/2003,Cómo Te Extraño Mi Amor,Unknown,17.0
95669,['Vladimir Horowitz'],[119107],0.369,0.114,0.12,102.388,-18.464,1,6,0.993,0.916,0.102,0.0362,0,417067,1,1928,1928,Piano Sonata No. ** Op. 35: II. Scherzo - Più lento,Unknown,17.0
95416,['Vladimir Horowitz'],[119107],0.385,0.0661,0.103,74.943,-18.617,0,1,0.992,0.937,0.134,0.0434,0,225040,1,1928,1928,"Mazurka in C-Sharp Minor, Op. 30, No. 4",Unknown,17.0
95150,['Vladimir Horowitz'],[119107],0.381,0.0281,0.0532,89.469,-25.721,1,11,0.995,0.891,0.057,0.0388,0,130173,0,1928,1928,Andantino,Unknown,17.0
20445,['Childish Gambino'],[2487188],0.672,0.804,0.686,69.748,-6.685,1,2,0.048,0.0,0.0831,0.534,1,195373,55,2011,11/15/2011,You See Me,Unknown,17.0
6748,['Albert Hammond'],[933781],0.567,0.782,0.716,98.879,-9.107,1,0,0.00135,0.0,0.331,0.0309,0,206707,55,1973,8/16/1973,The Free Electric Band,Unknown,17.0
95608,['Vladimir Horowitz'],[119107],0.289,0.0559,0.129,78.987,-20.777,0,5,0.99,0.87,0.0854,0.0375,0,310693,0,1926,1926,"Nocturnes, Op. 55: No. * in F Minor (Andante)",Unknown,17.0
20423,['Childish Gambino'],[2487188],0.639,0.377,0.464,100.254,-11.204,1,6,0.416,0.765,0.169,0.0708,1,43968,48,2013,12/10/2013,Death By Numbers,Unknown,17.0
10917,['Bebe Rexha'],[2992951],0.63,0.694,0.216,97.005,-6.257,0,11,0.00281,0.0,0.0719,0.0253,0,195519,79,2018,6/22/2018,I'm a Mess,Unknown,17.0
93958,['U.S. Bombs'],[809765],0.562,0.927,0.922,132.072,-4.391,1,9,0.00172,0.00312,0.242,0.0492,0,135627,43,2001,3/20/2001,Yer Country,Unknown,17.0
23235,['Daniela Romo'],[679889],0.508,0.411,0.336,157.409,-10.633,1,3,0.544,1.01e-05,0.0753,0.0328,0,210147,24,1989,1/1/1989,Adelante Corazón,Unknown,17.0
95209,['Vladimir Horowitz'],[119107],0.332,0.114,0.926,64.293,-24.506,1,0,0.995,0.914,0.115,0.0848,0,138573,20,1964,1964,"Sonata in F Major, K *** (L ****",Unknown,17.0
2669,['Morgana King'],[501436],0.606,0.202,0.445,103.026,-11.85,1,3,0.843,0.0,0.115,0.0554,0,162000,10,1958,3/30/1958,It's Only A Paper Moon,Unknown,17.0
87301,['The McGuire Sisters'],[397412],0.563,0.194,0.317,88.973,-11.161,1,6,0.643,0.0,0.0621,0.0268,0,159600,6,1956,1/1/1956,"Cuddle Up A Little Closer, Lovely Mine",Unknown,17.0
28706,['Eddie Griffin'],[169480],0.813,0.796,0.871,81.328,-8.545,0,2,0.203,0.0,0.257,0.308,1,50653,49,1999,11/16/1999,Bar One,Unknown,17.0
45972,['John Williams'],[1535255],0.17,0.0713,0.0398,91.61,-21.138,1,5,0.941,0.603,0.0914,0.0386,0,427693,40,1997,1997,Seven Years in Tibet,Unknown,17.0
98075,['Zaiko Langa Langa'],[964011],0.605,0.602,0.903,129.305,-6.726,1,4,0.77,0.000761,0.083,0.0413,0,534036,32,1970,1/1/1970,Selenge - * & *,Unknown,17.0
