,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
13,"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.514,0.327,0.602,126.221,-10.422,1,8,0.841,0.00127,0.0717,0.0366,0,233773,11,1956,1/1/1956,Boogie *****,Vocal,12.0
14,"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.547,0.394,0.539,127.598,-10.591,1,6,0.724,0.000113,0.0789,0.0511,0,215667,9,1956,1/1/1956,Opus *,Vocal,12.0
15,"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.611,0.506,0.766,152.032,-6.129,1,8,0.962,0.0046,0.0533,0.0559,0,187560,17,1941,1941,Thanks For The Boogie Ride,Vocal,12.0
16,"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.57,0.523,0.783,76.272,-5.531,1,8,0.961,0.00568,0.0543,0.072,0,187507,1,1932,1932,Thanks For The Boogie Ride,Vocal,12.0
17,"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.519,0.345,0.535,133.331,-9.508,1,8,0.804,0.0,0.0739,0.0386,0,204000,14,1956,1/1/1956,Let Me *** Uptown,Vocal,12.0
123,"[""Colby O'Donis"", 'Akon']","[106145, 933458]",0.775,0.641,0.305,119.974,-6.718,1,1,0.0327,0.0,0.18,0.038,0,243013,57,2008,1/1/2008,What You Got - Main,R&B;,6.0
163,"[""Destiny's Child"", 'Missy Elliott']","[210991, 502371]",0.781,0.59,0.446,97.86,-8.333,0,11,0.0447,1.4e-06,0.092,0.0606,0,297333,37,1999,7/27/1999,"Confessions (feat. Missy ""Misdemeanor"" Elliott)",R&B;,6.0
164,"[""Destiny's Child"", 'Next']","[210991, 391177]",0.687,0.707,0.821,127.81,-5.691,0,6,0.0156,0.0,0.113,0.222,0,275160,36,1999,7/27/1999,If You Leave (feat. Next),R&B;,6.0
345,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.506,0.773,0.946,123.616,-7.01,1,2,0.445,6.89e-06,0.266,0.0493,0,167427,31,1971,8/1/1971,Highway 49,Blues,9.0
346,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.57,0.837,0.737,100.131,-7.054,0,11,0.144,0.0691,0.513,0.0784,0,139827,28,1971,8/1/1971,Do The Do,Blues,9.0
347,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.547,0.561,0.551,139.13,-7.339,1,2,0.413,7.5e-06,0.201,0.0287,0,182277,27,1971,8/1/1971,What A Woman,Blues,9.0
348,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.505,0.567,0.591,117.984,-8.942,1,2,0.0535,0.00263,0.391,0.0371,0,239444,35,1971,8/1/1971,Red Rooster,Blues,9.0
349,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.624,0.792,0.792,116.583,-7.567,1,7,0.298,0.00028,0.113,0.0427,0,223947,33,1971,8/1/1971,Rockin' Daddy,Blues,9.0
350,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts']","[276085, 187478, 45313, 78802, 773407]",0.705,0.722,0.753,120.81,-8.638,1,9,0.177,1.68e-05,0.172,0.0504,0,270173,24,1971,8/1/1971,**** Dang Doodle,Blues,9.0
351,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts']","[276085, 187478, 45313, 78802, 773407]",0.593,0.864,0.785,96.361,-7.829,1,7,0.0607,0.00028,0.114,0.032,0,210827,40,1971,8/1/1971,I Ain't *************,Blues,9.0
352,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts']","[276085, 187478, 45313, 78802, 773407]",0.325,0.539,0.389,184.891,-8.315,1,4,0.105,0.014,0.282,0.0369,0,230853,37,1971,8/1/1971,Sitting On Top Of The World,Blues,9.0
510,"[""Oscar D'León"", 'Beny Moré']","[894831, 758194]",0.798,0.556,0.918,95.436,-15.221,1,5,0.524,0.196,0.0817,0.0528,0,310831,35,1985,8/22/1985,El Baile del Suavecito,Latin,11.0
665,"[""The Highway Q.C.'s"", 'Johnnie Taylor']","[609966, 198162]",0.444,0.367,0.597,138.081,-11.321,1,10,0.823,0.0,0.111,0.0659,0,163312,10,1960,1/1/1960,I Dreamed That Heaven Was Like This,Religious,16.0
796,"[""Youssou N'Dour"", 'Neneh Cherry']","[692100, 332257]",0.68,0.702,0.509,154.198,-9.621,0,1,0.0838,1.79e-06,0.326,0.0267,0,305773,60,2004,2004,7 Seconds (feat. Neneh Cherry),International,14.0
944,"['Jack Bruce', 'Ginger Baker']","[152312, 655273]",0.583,0.94,0.662,130.221,-10.566,1,2,0.633,3.26e-06,0.342,0.0928,0,169851,37,1965,1965,Harmonica,Pop/Rock,0.0
964,"['Gal Costa', 'Antonio Carlos Jobim']","[191699, 781837]",0.476,0.296,0.411,81.081,-16.647,0,4,0.728,0.0,0.964,0.0384,0,203227,52,1989,1989,Samba Do Aviao,Latin,11.0
965,"['Gal Costa', 'Antonio Carlos Jobim']","[191699, 781837]",0.452,0.182,0.248,130.993,-21.331,1,0,0.837,0.000182,0.973,0.0499,0,188080,52,1989,1989,Corcovado,Latin,11.0
966,"['Gal Costa', 'Antonio Carlos Jobim']","[191699, 781837]",0.487,0.329,0.491,81.902,-14.222,1,7,0.851,0.0301,0.974,0.178,0,181453,49,1989,1989,One Note Samba,Latin,11.0
967,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.542,0.111,0.466,85.26,-23.823,0,0,0.747,0.0129,0.0788,0.0611,0,143893,32,1967,1/1/1967,Coração *********,Latin,11.0
968,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.567,0.161,0.448,161.305,-19.959,0,0,0.851,0.0389,0.114,0.0574,0,143507,35,1994,1/1/1994,Coração *********,Latin,11.0
969,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.489,0.201,0.621,136.717,-22.642,1,5,0.846,0.0118,0.367,0.0403,0,189827,27,1967,1/1/1967,Um Dia,Latin,11.0
970,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.622,0.234,0.833,82.449,-21.248,1,0,0.777,2.29e-06,0.118,0.114,0,112467,37,1967,1/1/1967,Remelexo,Latin,11.0
971,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.511,0.016,0.184,133.322,-31.133,0,5,0.931,0.00176,0.0885,0.0454,0,91907,26,1967,1/1/1967,Nenhuma Dor,Latin,11.0
972,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.511,0.16,0.21,132.271,-21.857,0,4,0.808,0.0539,0.106,0.0448,0,202307,28,1967,1/1/1967,Quem Me Dera,Latin,11.0
973,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.319,0.0654,0.674,171.06,-21.441,1,7,0.811,0.0,0.327,0.0379,0,83613,26,1967,1/1/1967,Domingo,Latin,11.0
974,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.356,0.272,0.509,113.345,-13.263,1,2,0.508,2.02e-05,0.263,0.0368,0,212933,51,1969,1/1/1969,Baby,Latin,11.0
975,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.542,0.443,0.932,87.254,-13.246,1,9,0.339,0.000199,0.382,0.0416,0,214933,48,1969,1/1/1969,Que Pena (Ele Já Não Gosta Mais De Mim),Latin,11.0
976,"['Gal Costa', 'Caetano Veloso']","[191699, 639397]",0.506,0.0788,0.878,77.201,-25.139,1,0,0.812,0.00953,0.119,0.0632,0,116173,33,1967,1/1/1967,Onde Eu Nasci ***** Um Rio,Latin,11.0
977,"['Gal Costa', 'Gilberto Gil', 'Caetano Veloso']","[191699, 652255, 639397]",0.648,0.562,0.947,80.658,-12.004,1,2,0.183,0.0,0.0658,0.0788,0,227133,36,1969,1/1/1969,País Tropical,Latin,11.0
1121,"['Dick Haymes', 'Harry James']","[253457, 950571]",0.61,0.155,0.531,122.175,-14.699,1,10,0.969,0.00133,0.097,0.0351,0,160573,19,1939,1939,I'll Get By (As Long As I Have You) (with **** Haymes),Vocal,12.0
1122,"['Dick Haymes', 'Harry James']","[253457, 950571]",0.61,0.156,0.512,122.234,-14.141,1,10,0.972,0.00266,0.0887,0.0348,0,160680,3,1939,1939,I'll Get By (As Long As I Have You) (with **** Haymes),Vocal,12.0
