,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity_total,number,vector_length
1931,-0.38634796409555505,-0.27545761781575445,-0.2011391388097465,-0.027445929796046396,0.0927896733862293,0.08884031221482036,0.741624438867541,-0.11239148387241599,-0.006158537601060216,-0.07467683910387789,0.3858657574660842,58.0,27.0,2.627985815289039
1936,-0.38450010504062077,0.011319172617618925,-0.24723756824811147,-0.03285726827235757,0.16186957728494453,0.37555524393069994,0.6369654409900027,0.3322310517317357,0.20742459663200685,-0.058174034879934576,-0.24509264096798614,49.0,15.0,3.373492560738699
1940,0.23385444320668422,-0.09432855746818426,0.2449781951944484,-0.08615040682951486,-0.048778491552709385,0.33095076177527044,-0.056437906737295644,0.09405511701879701,0.8449004791225472,-0.055423369217298527,-0.16766065171005223,195.0,35.0,3.5409192307702613
1942,-0.37003690922367966,-0.3004731580875673,-0.31728633004332363,-0.21773068414813518,-0.0008794639888283468,0.4592041552347988,0.5469526013224626,0.2366297473550383,-0.016288082210817484,-0.05778559866840978,0.23470579226979152,50.0,26.0,3.3961692604717904
1947,-0.13938304038637392,-0.18864205334120018,-0.08621636210011015,-0.11433048994205539,-0.2879780370299297,0.25875799120281745,0.4916506942295881,0.4449690038353376,0.4044918524569952,-0.04940424235928833,-0.41088017296887686,8.0,8.0,3.972324329323849
1952,-0.3187339028308431,-0.21738116044746095,-0.23990037973270123,0.2028682618706024,-0.2722396997666917,0.34225123473323926,0.46465840762186444,0.48892065866671874,0.19859412793158657,-0.04426463353033749,-0.2546491957923442,44.0,9.0,4.433554696914187
1955,0.4622088785339348,-0.28256181927724244,0.4004446574683914,0.108458532878082,-0.06423040995331133,0.562505375127541,-0.16573764495760543,-0.06589691920943838,0.34999707078465564,-0.07060484795807763,-0.2336030526374535,104.0,7.0,2.779549557448778
1957,0.2821685487250547,0.46245699911558263,0.43867943159903583,-0.4152393126198448,0.3490257480702563,0.3422468980315563,-0.15161922225928304,0.11667831507304771,0.03801836556886352,-0.06456766797043226,-0.24593209217925283,18.0,1.0,3.0394418764741875
1959,0.29175276772310516,-0.11213734419982002,0.505662363726946,-0.3402778520576808,0.1794878613145655,0.5189800728789944,-0.18496849020461545,0.12392799978111932,-0.266832208754054,-0.1239256819121951,-0.3051841963499276,103.0,7.0,1.583607779012759
1963,-0.12328861343751754,-0.39018745897094487,-0.31022863404199674,-0.45081215136801805,-0.030305714348394776,0.5590534848217382,-0.2253887575811749,-0.09736066227714714,-0.19538754636734212,-0.09705641162079243,-0.3342837078428238,77.0,5.0,2.0220165841529036
