,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),Unnamed: 19,genre,genre_id
545,"[""Screamin' Jay Hawkins""]",[309458],0.845,0.455,0.896,87.002,-13.668,0,5,0.71,0.42,0.055,0.0488,0,145933,2,1927,1927,I Put A Spell On You - Live,,R&B;,5.0
8816,['Aretha Franklin'],[927555],0.496,0.829,0.733,119.018,-8.876,0,5,0.629,0.0768,0.162,0.0519,0,161893,0,1927,1927,Evil **** ***** - Live,,R&B;,5.0
21116,['Chuck Willis'],[126144],0.556,0.476,0.73,171.034,-6.766,1,10,0.959,0.0024,0.242,0.0778,0,132733,0,1932,1932,Take It Like A Man (with The Royals),,R&B;,5.0
8817,['Aretha Franklin'],[927555],0.648,0.356,0.529,86.735,-13.917,0,7,0.896,3.56e-05,0.11,0.0837,0,186160,3,1936,1936,It Ain't Necessarily So - from ***** and Bess,,R&B;,5.0
25005,['Deborah Cox'],[234647],0.609,0.447,0.411,81.964,-6.697,1,10,0.653,0.0,0.115,0.0352,0,193147,4,1941,1941,Fine and Mellow,,R&B;,5.0
10126,['Babyface'],[61226],0.4,0.408,0.143,138.586,-8.039,0,0,0.771,0.013,0.114,0.0286,0,287853,2,1941,1941,Strange Fruit,,R&B;,5.0
12269,['Bill Withers'],[78044],0.523,0.373,0.493,79.855,-12.99,0,9,0.446,1.08e-05,0.103,0.0932,0,124120,15,1942,1942,Ain't No Sunshine,,R&B;,5.0
71099,['Ray Charles'],[46861],0.325,0.367,0.465,133.341,-10.898,1,5,0.847,0.934,0.251,0.0403,0,193427,3,1947,1947,Overture,,R&B;,5.0
59327,['Melba Moore'],[869409],0.596,0.472,0.714,113.809,-12.563,0,11,0.609,3.61e-05,0.627,0.0443,0,217480,4,1947,1947,"The Flesh Failures (Let the Sunshine In) (from ""Hair"")",,R&B;,5.0
67672,['Percy Mayfield'],[309328],0.534,0.241,0.6,69.667,-10.312,0,7,0.921,0.025,0.318,0.0404,0,181600,0,1949,10/25/1949,Two Years of Torture,,R&B;,5.0
67673,['Percy Mayfield'],[309328],0.68,0.292,0.778,132.975,-10.516,1,10,0.893,1.56e-05,0.136,0.121,0,156027,2,1949,10/25/1949,Half Awoke,,R&B;,5.0
96770,['Wilbert Harrison'],[209517],0.711,0.807,0.941,117.009,-5.057,1,1,0.807,0.00261,0.31,0.037,0,144973,11,1950,1950,Kansas City,,R&B;,5.0
84330,['The Chordettes'],[763551],0.387,0.0248,0.102,167.477,-15.544,1,5,0.984,0.0,0.176,0.0473,0,170667,5,1950,5/15/1950,Moonlight Bay,,R&B;,5.0
84331,['The Chordettes'],[763551],0.272,0.028,0.0456,165.24,-15.801,0,8,0.977,0.0,0.145,0.0418,0,202560,6,1950,5/15/1950,When You Were Sweet Sixteen,,R&B;,5.0
84338,['The Chordettes'],[763551],0.315,0.0521,0.0793,69.561,-16.821,1,2,0.94,0.0,0.119,0.058,0,201107,5,1950,5/15/1950,Shine On Harvest Moon,,R&B;,5.0
84339,['The Chordettes'],[763551],0.319,0.0141,0.0465,144.911,-19.807,1,5,0.99,0.0,0.112,0.0373,0,167693,4,1950,5/15/1950,I'd Love to Live In Loveland (With a **** Like You),,R&B;,5.0
