列1,列2,列3,列4,列5,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15,列16,列17,列18,列19,列20,列21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.310476208,0.351343531,-0.04650048,0.33663271,0.355647207,0.029959035,0.186251916,0.336424311,0.061282224,0.166365056,0.115017555,0.029379233,0.398954291,0.016102353,0.130562269,0.331237411,-0.085236247,0.276665339,0.337831682,0.072693205
1,0.351343531,0.486031924,0.028436731,0.499831782,0.477099608,-0.007995508,0.192305487,0.42199419,0.181493428,0.175827107,0.158408637,-0.002568008,0.557397932,-0.103812485,0.18131942,0.421055953,-0.09603847,0.276119653,0.464977176,0.104547292
2,-0.04650048,0.028436731,0.182093153,-0.020220646,-0.003884638,0.039261617,0.067790061,0.022013492,0.1239011,0.033776065,0.152447877,0.087553453,-0.035503132,0.009135416,0.059944844,-0.015635003,0.069160822,0.039912563,-0.040837757,0.075681553
3,0.33663271,0.499831782,-0.020220646,0.628054334,0.500632408,-0.114300864,0.080297154,0.404408587,0.178069926,0.112828059,0.030784136,-0.129573792,0.680078341,-0.281085297,0.176459975,0.441889769,-0.147267556,0.119311684,0.579252026,0.054580865
4,0.355647207,0.477099608,-0.003884638,0.500632408,0.494557508,0.003945663,0.199827036,0.440103629,0.173736082,0.185270895,0.153258261,-0.000834147,0.552876285,-0.085262607,0.16221646,0.409463559,-0.116065004,0.304999977,0.462861459,0.093964327
5,0.029959035,-0.007995508,0.039261617,-0.114300864,0.003945663,0.152386436,0.133598013,0.04860635,0.026412971,0.096328797,0.151979033,0.155309706,-0.111762816,0.233329507,0.045871496,-0.017627868,0.076185365,0.227992056,-0.100090636,0.06354239
6,0.186251916,0.192305487,0.067790061,0.080297154,0.199827036,0.133598013,0.277216794,0.263711529,0.051613669,0.198886569,0.256021512,0.189051606,0.117937835,0.192607921,0.090189213,0.16363005,-0.016992053,0.343691227,0.094576803,0.114502199
7,0.336424311,0.42199419,0.022013492,0.404408587,0.440103629,0.04860635,0.263711529,0.46806081,0.132642124,0.221025362,0.222336854,0.061849527,0.47574692,0.011290217,0.160963586,0.390042718,-0.082387066,0.361931705,0.414059288,0.114219608
8,0.061282224,0.181493428,0.1239011,0.178069926,0.173736082,0.026412971,0.051613669,0.132642124,0.212755951,0.055496881,0.123140188,0.016894455,0.167912483,-0.060509826,0.119835875,0.11080795,0.035453783,0.112126611,0.123314498,0.073282231
9,0.166365056,0.175827107,0.033776065,0.112828059,0.185270895,0.096328797,0.198886569,0.221025362,0.055496881,0.158624567,0.175830861,0.121964249,0.146817403,0.128620126,0.106757132,0.157475979,-0.014828501,0.26860146,0.119719845,0.085763494
10,0.115017555,0.158408637,0.152447877,0.030784136,0.153258261,0.151979033,0.256021512,0.222336854,0.123140188,0.175830861,0.299466503,0.205612108,0.049572091,0.18941045,0.101650084,0.111263714,0.051545044,0.324993915,0.035259145,0.13514479
11,0.029379233,-0.002568008,0.087553453,-0.129573792,-0.000834147,0.155309706,0.189051606,0.061849527,0.016894455,0.121964249,0.205612108,0.205961106,-0.128711008,0.244144025,0.037118513,-0.025159786,0.055584568,0.235956596,-0.118657697,0.085845985
12,0.398954291,0.557397932,-0.035503132,0.680078341,0.552876285,-0.111762816,0.117937835,0.47574692,0.167912483,0.146817403,0.049572091,-0.128711008,0.757708541,-0.269490248,0.209796367,0.517808114,-0.155722502,0.168518529,0.651832545,0.067237995
13,0.016102353,-0.103812485,0.009135416,-0.281085297,-0.085262607,0.233329507,0.192607921,0.011290217,-0.060509826,0.128620126,0.18941045,0.244144025,-0.269490248,0.408532004,0.018778759,-0.082052395,0.108792468,0.313018169,-0.229530396,0.068744172
14,0.130562269,0.18131942,0.059944844,0.176459975,0.16221646,0.045871496,0.090189213,0.160963586,0.119835875,0.106757132,0.101650084,0.037118513,0.209796367,0.018778759,0.19548407,0.172473485,0.035988874,0.155614525,0.169527098,0.077016132
15,0.331237411,0.421055953,-0.015635003,0.441889769,0.409463559,-0.017627868,0.16363005,0.390042718,0.11080795,0.157475979,0.111263714,-0.025159786,0.517808114,-0.082052395,0.172473485,0.404884369,-0.082449379,0.237623445,0.446206861,0.0806188
16,-0.085236247,-0.09603847,0.069160822,-0.147267556,-0.116065004,0.076185365,-0.016992053,-0.082387066,0.035453783,-0.014828501,0.051545044,0.055584568,-0.155722502,0.108792468,0.035988874,-0.082449379,0.138520533,0.025207411,-0.124330187,0.0275767
17,0.276665339,0.276119653,0.039912563,0.119311684,0.304999977,0.227992056,0.343691227,0.361931705,0.112126611,0.26860146,0.324993915,0.235956596,0.168518529,0.313018169,0.155614525,0.237623445,0.025207411,0.540130737,0.134130826,0.148969875
18,0.337831682,0.464977176,-0.040837757,0.579252026,0.462861459,-0.100090636,0.094576803,0.414059288,0.123314498,0.119719845,0.035259145,-0.118657697,0.651832545,-0.229530396,0.169527098,0.446206861,-0.124330187,0.134130826,0.573617099,0.052397085
19,0.072693205,0.104547292,0.075681553,0.054580865,0.093964327,0.06354239,0.114502199,0.114219608,0.073282231,0.085763494,0.13514479,0.085845985,0.067237995,0.068744172,0.077016132,0.0806188,0.0275767,0.148969875,0.052397085,0.069165631
